age,c_charge_degree,race,age_cat,score_text,sex,priors_count,days_b_screening_arrest,decile_score,is_recid,two_year_recid,length_of_stay
29,F,Caucasian,25 - 45,High,Male,7,-1,10,1,1,1
32,F,African-American,25 - 45,Low,Male,8,-1,4,0,0,4
31,F,Other,25 - 45,Medium,Male,5,-1,6,1,0,3
33,M,African-American,25 - 45,Low,Female,1,-1,1,0,0,2
25,F,Caucasian,25 - 45,Low,Male,4,-1,4,0,0,183
33,M,African-American,25 - 45,Low,Female,0,-1,1,0,0,1
21,F,Hispanic,Less than 25,Medium,Male,1,-1,5,0,0,1
35,F,Caucasian,25 - 45,Low,Male,1,-1,1,1,1,49
56,F,African-American,Greater than 45,Low,Male,1,-22,1,0,0,3
38,M,Caucasian,25 - 45,Low,Male,0,-1,3,1,1,3
40,M,African-American,25 - 45,Low,Female,4,-1,1,0,0,1
28,F,African-American,25 - 45,Low,Male,4,-1,4,0,0,1
51,M,African-American,Greater than 45,Low,Male,0,-1,1,0,0,1
35,M,African-American,25 - 45,Low,Male,2,-1,2,0,0,2
61,F,African-American,Greater than 45,Low,Male,5,-13,2,0,0,12
25,F,African-American,25 - 45,Low,Male,0,0,3,0,0,1
25,F,African-American,25 - 45,Medium,Male,4,-1,7,1,1,1
26,M,African-American,25 - 45,Medium,Male,0,0,5,1,0,0
42,M,Caucasian,25 - 45,Low,Male,1,-1,1,0,0,3
25,F,African-American,25 - 45,Low,Female,1,-10,4,0,0,1
26,M,African-American,25 - 45,High,Male,13,-1,10,1,1,0
31,F,African-American,25 - 45,Medium,Male,9,-1,7,0,0,1
35,F,Caucasian,25 - 45,Low,Male,1,-1,2,0,0,1
34,F,Caucasian,25 - 45,Low,Male,0,-1,1,0,0,116
33,M,Caucasian,25 - 45,Low,Female,1,-1,2,0,0,1
30,F,African-American,25 - 45,Low,Male,3,-1,2,1,0,1
50,M,African-American,Greater than 45,Low,Female,7,-1,4,0,0,1
21,F,African-American,Less than 25,Medium,Male,0,-1,5,0,0,50
31,F,Hispanic,25 - 45,High,Male,16,0,10,1,1,483
31,F,African-American,25 - 45,Medium,Male,2,-1,7,1,1,3
23,M,African-American,Less than 25,Low,Female,0,-1,4,0,0,1
25,F,African-American,25 - 45,Medium,Male,1,0,6,0,0,2
24,F,Caucasian,Less than 25,Medium,Female,1,-1,5,0,0,1
31,M,African-American,25 - 45,High,Male,13,-1,10,1,1,1
60,F,African-American,Greater than 45,Low,Male,0,-1,1,1,0,2
30,F,African-American,25 - 45,Low,Male,2,-1,2,0,0,1
32,M,Other,25 - 45,Low,Female,0,-1,1,0,0,1
46,M,Caucasian,Greater than 45,Low,Male,0,0,1,0,0,0
21,M,Caucasian,Less than 25,Low,Male,0,-1,4,1,1,1
35,F,African-American,25 - 45,High,Male,0,-1,8,1,0,1
34,F,Hispanic,25 - 45,Low,Male,2,-1,3,1,1,10
41,F,Asian,25 - 45,High,Male,2,-1,8,1,1,162
23,F,African-American,Less than 25,High,Male,1,-1,10,1,1,16
23,F,African-American,Less than 25,Medium,Male,3,-1,6,1,1,2
28,M,African-American,25 - 45,Low,Male,2,0,4,1,0,3
21,F,Hispanic,Less than 25,Low,Male,0,0,4,1,1,0
46,M,Caucasian,Greater than 45,Low,Male,2,-1,4,1,0,3
56,F,African-American,Greater than 45,Low,Male,1,-1,2,0,0,1
40,F,Hispanic,25 - 45,Medium,Male,8,-1,5,1,1,0
30,F,Hispanic,25 - 45,Low,Male,5,-1,3,1,1,2
24,M,African-American,Less than 25,Low,Male,1,-1,4,1,1,1
33,M,Caucasian,25 - 45,Low,Female,0,-1,1,0,0,1
48,M,Caucasian,Greater than 45,High,Male,2,-1,8,1,0,4
33,F,African-American,25 - 45,Medium,Male,11,-1,6,1,1,45
25,F,Hispanic,25 - 45,Medium,Male,0,-1,7,0,0,1
30,F,African-American,25 - 45,Medium,Male,7,-1,5,1,1,1
37,F,Hispanic,25 - 45,Low,Male,0,-1,3,1,1,3
43,F,Caucasian,25 - 45,High,Female,7,-21,8,0,0,9
32,F,Caucasian,25 - 45,Low,Male,0,0,3,0,0,1
33,F,Other,25 - 45,Medium,Male,3,-1,7,0,0,1
39,F,Other,25 - 45,Low,Male,4,-30,2,1,1,0
49,F,Caucasian,Greater than 45,Low,Male,4,-11,1,0,0,6
24,F,Caucasian,Less than 25,Low,Male,0,-1,4,0,0,19
26,F,African-American,25 - 45,High,Male,1,0,9,0,0,0
42,F,Caucasian,25 - 45,Low,Male,0,-1,2,0,0,2
22,F,African-American,Less than 25,Medium,Male,1,-1,6,1,1,6
36,F,Hispanic,25 - 45,Low,Male,0,0,1,0,0,0
29,M,Caucasian,25 - 45,Medium,Male,7,-1,7,1,1,28
39,M,Caucasian,25 - 45,Low,Male,0,0,3,0,0,18
27,F,African-American,25 - 45,Medium,Male,13,0,6,1,1,14
38,F,Caucasian,25 - 45,Medium,Male,2,-1,5,1,1,8
20,F,Caucasian,Less than 25,Low,Male,0,-1,2,1,1,4
25,F,African-American,25 - 45,High,Male,4,-1,10,1,1,86
53,M,Caucasian,Greater than 45,Low,Male,0,-1,1,0,0,1
27,M,African-American,25 - 45,High,Female,0,-1,8,1,1,7
21,F,Other,Less than 25,Medium,Male,0,-1,5,1,1,6
50,M,Caucasian,Greater than 45,Low,Male,1,-1,1,1,1,5
41,F,African-American,25 - 45,Medium,Male,4,-1,5,0,0,1
22,F,Caucasian,Less than 25,High,Male,5,-2,8,1,1,5
22,F,Caucasian,Less than 25,Medium,Male,0,-1,7,1,1,3
25,F,African-American,25 - 45,Medium,Male,2,-1,5,0,0,27
42,F,African-American,25 - 45,Low,Male,1,-1,4,1,1,1
51,F,Other,Greater than 45,Low,Male,2,-1,1,0,0,1
24,F,African-American,Less than 25,Low,Male,0,0,3,0,0,0
37,F,African-American,25 - 45,Low,Male,4,0,4,0,0,93
37,M,Caucasian,25 - 45,Low,Male,0,-3,1,0,0,0
27,M,Other,25 - 45,Low,Female,0,-1,2,0,0,1
21,F,Other,Less than 25,Medium,Male,0,-1,6,0,0,5
35,F,African-American,25 - 45,Low,Male,1,0,1,1,1,1
24,F,Caucasian,Less than 25,High,Female,0,-1,8,0,0,37
49,M,Caucasian,Greater than 45,Low,Male,2,-1,1,0,0,1
38,F,African-American,25 - 45,Medium,Male,9,-5,6,0,0,3
61,M,Other,Greater than 45,Low,Male,0,-1,1,0,0,1
30,M,African-American,25 - 45,Low,Female,0,0,2,0,0,0
22,F,African-American,Less than 25,Medium,Male,3,-1,6,1,0,128
25,F,African-American,25 - 45,Medium,Male,0,-1,7,1,1,2
30,M,Hispanic,25 - 45,Low,Female,3,-1,3,1,1,1
52,M,Caucasian,Greater than 45,Low,Male,0,-1,1,0,0,1
26,F,Caucasian,25 - 45,Low,Male,0,-1,2,0,0,1
26,M,Other,25 - 45,Low,Male,0,-1,4,0,0,1
45,F,Caucasian,Greater than 45,High,Male,9,-1,9,1,1,55
20,F,African-American,Less than 25,High,Male,0,-1,9,1,1,1
29,F,African-American,25 - 45,High,Male,4,-1,8,1,0,80
43,F,Caucasian,25 - 45,Medium,Male,1,-1,6,1,1,69
26,F,Caucasian,25 - 45,Medium,Male,2,-1,5,0,0,1
46,F,African-American,Greater than 45,Low,Female,4,-1,4,0,0,1
46,F,African-American,Greater than 45,Low,Female,0,-1,1,0,0,1
29,F,African-American,25 - 45,High,Male,12,-1,10,1,1,6
41,M,Caucasian,25 - 45,Low,Male,0,0,1,0,0,0
25,F,African-American,25 - 45,Medium,Female,5,-1,7,0,0,1
23,F,African-American,Less than 25,Medium,Male,2,-1,7,0,0,18
30,M,Caucasian,25 - 45,Low,Male,0,-1,3,0,0,0
34,F,Caucasian,25 - 45,Medium,Male,1,-1,6,0,0,3
70,F,Caucasian,Greater than 45,Low,Male,11,-13,1,1,1,13
52,F,Caucasian,Greater than 45,Low,Male,2,-1,1,0,0,2
51,M,African-American,Greater than 45,Low,Male,4,-26,2,1,0,8
45,F,Native American,Greater than 45,High,Female,15,-1,10,1,1,1
55,F,African-American,Greater than 45,Medium,Male,21,0,6,1,1,85
49,F,Caucasian,Greater than 45,Low,Female,1,-1,1,0,0,1
47,F,Caucasian,Greater than 45,Low,Female,0,0,1,0,0,0
27,M,African-American,25 - 45,Low,Male,0,0,2,0,0,1
25,M,Caucasian,25 - 45,Medium,Male,5,-3,7,1,1,0
21,F,African-American,Less than 25,High,Male,1,0,10,1,1,59
37,F,African-American,25 - 45,High,Male,26,-1,10,1,1,2
21,F,African-American,Less than 25,High,Male,1,-1,9,1,1,49
21,F,African-American,Less than 25,Medium,Male,0,-2,6,0,0,1
25,F,African-American,25 - 45,High,Male,4,0,10,1,1,0
27,F,African-American,25 - 45,Medium,Female,3,-1,5,1,1,1
30,F,Caucasian,25 - 45,Low,Male,3,-1,4,1,1,12
70,M,Caucasian,Greater than 45,Low,Male,0,-1,1,0,0,1
37,F,Caucasian,25 - 45,High,Male,11,-1,9,1,1,1
46,F,African-American,Greater than 45,Medium,Male,5,0,5,1,1,2
40,M,Other,25 - 45,Low,Male,4,-1,1,1,1,2
43,F,African-American,25 - 45,Low,Male,18,-1,4,1,1,9
38,F,African-American,25 - 45,Medium,Male,15,0,6,0,0,55
29,F,African-American,25 - 45,Low,Male,0,0,4,0,0,0
37,M,African-American,25 - 45,Low,Male,8,0,2,1,1,1
38,F,Hispanic,25 - 45,Low,Male,3,-21,4,0,0,0
27,F,Caucasian,25 - 45,Low,Female,0,-4,3,0,0,1
20,M,Other,Less than 25,Medium,Female,0,0,5,1,1,11
44,M,Hispanic,25 - 45,Low,Male,0,0,1,0,0,0
31,M,Caucasian,25 - 45,Medium,Male,6,-1,5,0,0,1
29,F,African-American,25 - 45,Low,Male,3,-1,2,1,1,1
30,M,African-American,25 - 45,Low,Female,0,-1,2,0,0,1
25,F,Caucasian,25 - 45,Medium,Female,2,-25,5,1,1,12
40,F,African-American,25 - 45,Low,Male,3,-1,2,0,0,1
33,M,Caucasian,25 - 45,Low,Male,1,0,3,0,0,1
26,F,Caucasian,25 - 45,Medium,Male,5,-1,5,1,1,1
31,M,Hispanic,25 - 45,Low,Male,1,0,3,0,0,1
61,M,Caucasian,Greater than 45,Low,Male,1,-1,1,0,0,1
30,F,Caucasian,25 - 45,Low,Male,2,-1,4,0,0,1
62,M,Caucasian,Greater than 45,Low,Male,0,-1,1,0,0,2
27,M,Caucasian,25 - 45,High,Female,4,8,8,1,1,55
48,F,Caucasian,Greater than 45,Medium,Male,9,-1,6,0,0,1
40,F,Caucasian,25 - 45,Low,Female,0,-1,2,0,0,1
24,F,Caucasian,Less than 25,Low,Male,0,-1,4,0,0,3
22,F,African-American,Less than 25,Low,Male,0,-1,4,1,1,1
30,M,African-American,25 - 45,High,Male,4,-1,8,1,1,16
63,M,Caucasian,Greater than 45,Low,Male,0,0,1,0,0,0
33,F,African-American,25 - 45,High,Male,4,-1,10,0,0,1
43,M,Caucasian,25 - 45,Low,Male,0,-5,4,1,1,1
26,F,African-American,25 - 45,High,Male,3,0,10,1,1,34
51,F,African-American,Greater than 45,Low,Male,1,-17,1,0,0,7
39,F,Caucasian,25 - 45,Low,Male,3,-1,1,1,1,1
30,M,Hispanic,25 - 45,Low,Female,0,-1,3,1,1,1
32,F,African-American,25 - 45,High,Male,14,-1,8,1,1,1
22,M,African-American,Less than 25,Medium,Male,0,-2,6,0,0,1
59,F,Caucasian,Greater than 45,Low,Male,0,-1,1,0,0,1
38,M,African-American,25 - 45,Medium,Male,37,-1,7,1,1,31
23,F,African-American,Less than 25,Medium,Male,2,0,6,0,0,238
42,M,African-American,25 - 45,Low,Male,0,0,1,1,1,1
38,F,African-American,25 - 45,Medium,Male,2,0,7,1,1,193
34,F,Caucasian,25 - 45,Low,Female,2,-1,3,0,0,1
36,F,African-American,25 - 45,Low,Female,7,-1,3,1,1,2
36,M,African-American,25 - 45,Low,Male,0,-1,3,1,1,1
31,F,African-American,25 - 45,Low,Male,1,-14,1,0,0,14
28,F,African-American,25 - 45,Low,Female,3,-1,4,1,1,5
28,F,African-American,25 - 45,Low,Male,1,0,2,1,1,0
43,F,African-American,25 - 45,Low,Male,0,-1,4,0,0,1
40,F,African-American,25 - 45,Low,Male,1,-1,1,0,0,2
31,F,African-American,25 - 45,High,Male,15,-1,9,1,1,2
54,F,African-American,Greater than 45,Medium,Male,6,-1,7,1,1,14
24,F,African-American,Less than 25,High,Male,17,-1,9,1,1,130
41,F,Hispanic,25 - 45,Low,Male,0,-3,1,1,1,1
21,F,African-American,Less than 25,High,Male,1,-1,9,1,1,242
29,F,Hispanic,25 - 45,Low,Female,1,-1,2,1,1,1
22,F,African-American,Less than 25,Low,Male,0,-1,3,0,0,1
52,F,Hispanic,Greater than 45,Medium,Male,9,-1,7,1,1,34
40,F,Other,25 - 45,Low,Female,0,-1,1,0,0,1
45,F,African-American,Greater than 45,Low,Female,1,-1,4,0,0,6
29,M,African-American,25 - 45,Low,Male,1,0,2,1,1,0
46,F,African-American,Greater than 45,Medium,Male,10,-1,5,1,1,10
21,F,Caucasian,Less than 25,High,Male,1,-1,8,0,0,13
35,F,Caucasian,25 - 45,Medium,Male,6,-10,5,1,1,2
52,M,African-American,Greater than 45,Low,Male,1,1,1,1,1,71
48,M,Caucasian,Greater than 45,Low,Male,0,0,1,0,0,0
29,M,African-American,25 - 45,High,Female,9,-1,8,1,1,214
48,M,Caucasian,Greater than 45,Low,Male,0,-1,1,0,0,1
31,F,African-American,25 - 45,Medium,Male,10,-8,6,1,1,8
21,F,Caucasian,Less than 25,High,Male,3,-1,8,1,1,127
32,F,Other,25 - 45,Low,Male,0,0,1,1,1,22
47,M,African-American,Greater than 45,Medium,Male,0,-1,5,0,0,3
21,F,African-American,Less than 25,High,Male,3,-1,10,1,1,1
35,F,African-American,25 - 45,High,Male,13,-1,10,0,0,1
46,M,African-American,Greater than 45,Low,Male,3,-22,1,1,1,21
34,F,African-American,25 - 45,Low,Male,5,-1,4,1,1,5
52,F,African-American,Greater than 45,Low,Male,2,-5,1,0,0,3
21,M,Caucasian,Less than 25,High,Male,0,-1,8,1,1,9
53,M,Caucasian,Greater than 45,Low,Male,1,-2,1,0,0,1
19,F,Caucasian,Less than 25,Low,Female,0,-1,3,1,1,1
22,M,African-American,Less than 25,Medium,Male,0,-1,6,0,0,3
45,F,African-American,Greater than 45,Low,Male,1,-1,3,0,0,3
27,F,Caucasian,25 - 45,Low,Female,0,-1,2,0,0,1
25,M,Caucasian,25 - 45,Low,Male,0,-1,2,0,0,1
30,F,Caucasian,25 - 45,Low,Male,0,0,4,1,1,0
31,F,African-American,25 - 45,Medium,Male,2,0,5,1,1,0
28,F,Caucasian,25 - 45,Low,Male,3,-1,3,0,0,1
36,M,African-American,25 - 45,Low,Male,3,-1,2,1,1,2
27,F,African-American,25 - 45,Medium,Male,7,-1,5,1,1,10
42,F,African-American,25 - 45,Low,Male,1,0,2,0,0,0
35,F,Caucasian,25 - 45,Medium,Male,0,0,5,1,1,41
33,F,Caucasian,25 - 45,Low,Female,2,-29,2,0,0,1
24,F,Hispanic,Less than 25,High,Male,6,-1,10,1,1,219
25,F,African-American,25 - 45,High,Male,21,-14,10,1,1,2
42,M,Caucasian,25 - 45,Low,Female,0,-1,1,0,0,1
21,F,African-American,Less than 25,Medium,Male,0,-1,6,1,1,4
28,M,African-American,25 - 45,Low,Female,0,0,2,0,0,0
27,F,African-American,25 - 45,High,Male,25,18,10,1,1,41
21,F,Caucasian,Less than 25,Medium,Female,0,-1,6,0,0,3
26,M,Caucasian,25 - 45,Medium,Male,0,0,6,1,1,5
36,F,Caucasian,25 - 45,Low,Male,0,-1,1,0,0,1
49,F,Caucasian,Greater than 45,Medium,Male,0,-1,7,1,1,2
44,F,Caucasian,25 - 45,Low,Male,0,-1,2,1,1,2
28,M,Caucasian,25 - 45,Low,Male,1,-25,3,0,0,24
35,F,African-American,25 - 45,Medium,Female,12,-2,7,1,1,1
34,F,African-American,25 - 45,Low,Male,3,-1,1,0,0,1
45,F,African-American,Greater than 45,Low,Male,15,-1,3,1,1,1
28,F,African-American,25 - 45,Low,Male,9,-1,3,1,1,16
25,F,African-American,25 - 45,Low,Female,1,-1,3,0,0,4
21,M,African-American,Less than 25,High,Male,1,0,8,1,0,1
48,F,African-American,Greater than 45,Low,Male,1,-1,1,0,0,1
37,M,Caucasian,25 - 45,Low,Male,1,-1,2,0,0,1
24,F,African-American,Less than 25,Medium,Male,3,-3,6,1,1,1
37,M,Caucasian,25 - 45,Low,Male,1,-1,1,1,1,1
39,F,Caucasian,25 - 45,Low,Male,1,-3,3,0,0,0
24,F,Caucasian,Less than 25,Medium,Male,1,-1,5,1,1,22
49,F,Other,Greater than 45,Low,Male,2,-1,1,0,0,1
23,F,African-American,Less than 25,Low,Male,1,-1,2,1,1,1
43,F,Caucasian,25 - 45,Medium,Male,5,-1,5,0,0,1
28,M,African-American,25 - 45,High,Male,6,-1,8,1,1,1
53,M,African-American,Greater than 45,Low,Male,1,-1,2,0,0,1
27,M,African-American,25 - 45,Low,Female,2,-14,4,1,1,1
39,M,Caucasian,25 - 45,Low,Male,0,-1,1,0,0,2
47,F,African-American,Greater than 45,Medium,Male,22,-1,7,1,1,1
28,F,African-American,25 - 45,Low,Male,4,-1,2,1,1,2
36,F,Caucasian,25 - 45,Low,Male,2,-4,1,0,0,1
24,F,African-American,Less than 25,High,Female,1,-1,9,0,0,4
35,M,Hispanic,25 - 45,Low,Male,0,-1,2,0,0,1
23,F,African-American,Less than 25,Medium,Male,3,0,7,0,0,1
26,F,African-American,25 - 45,Low,Male,2,-1,2,0,0,1
31,F,African-American,25 - 45,Low,Male,7,-1,4,1,1,54
30,F,African-American,25 - 45,High,Female,14,0,10,1,1,5
25,M,Caucasian,25 - 45,Medium,Male,2,0,6,0,0,1
24,F,African-American,Less than 25,High,Male,6,0,10,1,1,1
34,F,Hispanic,25 - 45,Low,Male,1,-1,1,1,1,1
26,M,African-American,25 - 45,Low,Male,2,-29,4,0,0,29
60,F,Hispanic,Greater than 45,Low,Male,0,-1,1,0,0,1
20,F,African-American,Less than 25,Medium,Female,0,-1,5,0,0,1
23,F,Caucasian,Less than 25,Low,Male,0,0,3,0,0,0
26,F,African-American,25 - 45,Medium,Male,5,-1,7,1,1,7
40,M,Caucasian,25 - 45,Low,Male,4,0,1,0,0,1
28,F,Other,25 - 45,Low,Male,1,-1,3,1,1,1
49,F,Hispanic,Greater than 45,Low,Male,1,-1,1,1,1,5
19,F,African-American,Less than 25,High,Male,1,0,10,1,1,0
53,F,Caucasian,Greater than 45,Low,Male,1,-12,1,0,0,12
24,F,African-American,Less than 25,Low,Female,0,-1,3,0,0,1
31,F,Hispanic,25 - 45,Low,Male,0,-5,1,0,0,1
33,F,Caucasian,25 - 45,Low,Female,2,-1,3,0,0,0
26,F,Caucasian,25 - 45,High,Male,8,-1,10,1,1,42
32,F,Caucasian,25 - 45,Low,Male,2,-1,2,0,0,1
25,F,Caucasian,25 - 45,Low,Male,0,0,2,1,1,3
21,F,African-American,Less than 25,Low,Male,1,-1,2,0,0,1
38,F,African-American,25 - 45,Medium,Male,3,0,5,0,0,1
23,F,Caucasian,Less than 25,Low,Male,0,-4,2,1,0,1
20,F,Caucasian,Less than 25,Medium,Male,0,-1,6,1,1,8
39,F,Caucasian,25 - 45,Low,Female,4,-2,1,1,1,1
24,F,African-American,Less than 25,Low,Male,1,-1,2,1,1,6
23,F,Hispanic,Less than 25,Low,Male,0,0,2,0,0,0
49,F,African-American,Greater than 45,Low,Male,3,-1,4,0,0,1
31,F,African-American,25 - 45,Medium,Male,7,-1,7,1,1,78
20,F,African-American,Less than 25,Medium,Male,1,-26,6,1,1,16
28,M,Caucasian,25 - 45,Low,Male,0,0,3,0,0,13
67,F,Caucasian,Greater than 45,Low,Male,3,-1,1,0,0,1
33,F,Hispanic,25 - 45,Low,Male,0,0,1,0,0,1
52,F,African-American,Greater than 45,Low,Male,0,-1,1,0,0,1
45,F,African-American,Greater than 45,Medium,Male,17,-1,7,1,1,47
27,F,African-American,25 - 45,Medium,Male,8,-1,7,1,1,1
22,F,Caucasian,Less than 25,High,Male,1,-1,9,0,0,1
40,M,Caucasian,25 - 45,Low,Male,0,-1,1,1,1,1
30,M,Caucasian,25 - 45,High,Male,1,0,8,1,1,0
42,F,African-American,25 - 45,Low,Male,1,-1,1,0,0,1
24,F,African-American,Less than 25,Low,Male,2,0,3,1,1,2
46,F,Caucasian,Greater than 45,Low,Male,4,-5,2,0,0,3
38,F,African-American,25 - 45,Low,Male,4,0,3,0,0,0
32,M,Hispanic,25 - 45,Low,Female,0,-1,3,1,1,8
26,M,Caucasian,25 - 45,Medium,Male,0,-1,5,0,0,1
54,M,Caucasian,Greater than 45,Low,Male,1,-1,1,1,1,1
27,F,Hispanic,25 - 45,Low,Male,2,-10,3,0,0,10
61,F,Caucasian,Greater than 45,Low,Male,1,0,4,0,0,1
51,M,African-American,Greater than 45,Low,Male,1,-1,4,1,1,1
57,F,Caucasian,Greater than 45,Low,Male,0,0,1,0,0,28
24,M,Caucasian,Less than 25,Medium,Male,3,-1,5,1,1,1
34,F,African-American,25 - 45,Low,Male,1,-1,1,0,0,1
27,F,Hispanic,25 - 45,Low,Male,1,-1,2,0,0,2
28,M,African-American,25 - 45,Medium,Female,10,15,7,1,1,4
35,M,African-American,25 - 45,High,Male,10,0,8,1,1,1
30,F,African-American,25 - 45,Medium,Male,6,0,6,1,1,1
44,F,African-American,25 - 45,Low,Male,0,-1,1,0,0,1
61,F,Caucasian,Greater than 45,Medium,Male,10,-1,6,0,0,23
26,F,African-American,25 - 45,High,Male,1,-1,9,1,1,1
48,F,African-American,Greater than 45,Medium,Male,10,-1,7,1,1,4
42,M,African-American,25 - 45,Low,Male,4,0,1,0,0,0
38,F,Caucasian,25 - 45,High,Male,10,-1,8,1,1,1
53,M,Caucasian,Greater than 45,Low,Female,0,-1,1,0,0,1
26,M,African-American,25 - 45,High,Male,3,-1,10,1,0,2
22,F,African-American,Less than 25,Medium,Male,1,-1,7,1,1,1
50,F,Caucasian,Greater than 45,Medium,Male,0,-1,7,0,0,30
44,M,Caucasian,25 - 45,Medium,Male,16,-1,7,0,0,82
24,F,African-American,Less than 25,Medium,Male,4,-1,6,1,1,1
21,F,African-American,Less than 25,Medium,Male,0,-1,7,1,1,1
50,F,Caucasian,Greater than 45,Low,Male,0,0,1,0,0,2
36,M,Caucasian,25 - 45,Low,Female,0,0,1,0,0,1
39,F,Caucasian,25 - 45,Low,Male,0,-1,3,0,0,54
54,F,African-American,Greater than 45,Medium,Female,7,-1,6,0,0,19
29,M,African-American,25 - 45,Low,Male,0,0,2,0,0,1
26,M,Caucasian,25 - 45,Medium,Male,0,-1,6,0,0,1
41,F,African-American,25 - 45,Low,Male,3,-1,4,1,1,1
23,F,African-American,Less than 25,Medium,Male,1,-1,6,1,1,2
34,M,Caucasian,25 - 45,Low,Male,0,-1,1,0,0,1
31,F,Caucasian,25 - 45,Medium,Male,11,0,7,1,1,12
20,F,African-American,Less than 25,Low,Male,0,-1,3,0,0,2
49,F,African-American,Greater than 45,Medium,Male,10,-1,6,1,1,44
26,F,African-American,25 - 45,High,Male,4,0,8,1,1,1
28,F,African-American,25 - 45,Low,Male,1,-1,4,1,1,1
26,F,African-American,25 - 45,Low,Male,0,-1,2,0,0,1
55,F,African-American,Greater than 45,Low,Male,1,-1,4,0,0,1
22,M,African-American,Less than 25,High,Male,0,-1,9,0,0,2
26,M,African-American,25 - 45,Low,Female,0,-1,4,0,0,1
56,M,Other,Greater than 45,Low,Male,0,0,1,0,0,1
46,F,Other,Greater than 45,Low,Male,2,-1,3,0,0,1
58,F,African-American,Greater than 45,Medium,Male,16,-1,6,1,1,68
28,F,African-American,25 - 45,Medium,Male,4,-1,7,0,0,30
33,F,African-American,25 - 45,Medium,Male,8,-1,6,1,0,2
31,M,African-American,25 - 45,Low,Female,0,-1,2,0,0,1
26,M,African-American,25 - 45,Medium,Male,1,0,5,0,0,0
34,M,Caucasian,25 - 45,Low,Male,0,-1,1,0,0,1
33,F,Other,25 - 45,Low,Male,0,-1,1,0,0,1
32,F,African-American,25 - 45,Low,Female,0,-1,2,0,0,1
37,F,African-American,25 - 45,Medium,Male,9,0,6,1,1,1
50,F,African-American,Greater than 45,Medium,Male,1,-22,5,0,0,1
35,F,Caucasian,25 - 45,Low,Male,1,-1,2,0,0,3
47,M,Caucasian,Greater than 45,Low,Female,0,-6,3,1,1,4
52,F,African-American,Greater than 45,High,Female,8,-1,9,0,0,43
26,F,African-American,25 - 45,Medium,Male,5,-1,7,1,1,6
45,F,African-American,Greater than 45,Low,Male,13,-1,1,1,1,1
19,M,Other,Less than 25,High,Male,0,-1,9,1,1,1
41,F,African-American,25 - 45,Low,Male,8,-1,2,1,1,1
24,M,African-American,Less than 25,Low,Male,0,0,2,0,0,1
21,F,African-American,Less than 25,High,Male,1,-1,9,1,0,1
54,M,Caucasian,Greater than 45,Low,Male,0,-1,1,0,0,1
49,F,Caucasian,Greater than 45,Low,Male,0,-1,1,0,0,74
42,F,Caucasian,25 - 45,Low,Male,1,0,2,0,0,293
21,F,African-American,Less than 25,Low,Male,1,0,4,1,1,1
46,F,Caucasian,Greater than 45,High,Male,5,0,8,1,1,0
74,M,Caucasian,Greater than 45,Low,Male,0,0,1,0,0,1
38,F,Hispanic,25 - 45,Low,Female,0,0,1,0,0,0
39,F,African-American,25 - 45,Low,Female,1,-1,1,0,0,1
38,F,African-American,25 - 45,Low,Female,0,-1,1,0,0,4
19,F,African-American,Less than 25,Medium,Male,1,-1,7,1,1,1
28,F,Caucasian,25 - 45,Low,Male,0,-1,2,1,1,1
25,F,African-American,25 - 45,Medium,Male,1,-1,6,1,1,29
53,M,Caucasian,Greater than 45,Low,Male,1,-1,1,0,0,1
23,F,African-American,Less than 25,High,Male,2,-1,9,0,0,77
55,F,Caucasian,Greater than 45,High,Male,33,-1,9,1,1,242
64,F,Caucasian,Greater than 45,Low,Female,1,-1,1,0,0,1
23,M,African-American,Less than 25,Medium,Male,1,-1,7,1,1,27
23,F,African-American,Less than 25,High,Male,4,-1,8,1,1,1
41,F,Hispanic,25 - 45,Low,Female,0,0,1,0,0,0
53,M,Other,Greater than 45,Low,Male,0,0,1,0,0,0
34,F,African-American,25 - 45,Low,Male,0,-1,1,0,0,2
24,F,Hispanic,Less than 25,Low,Male,0,-1,1,1,1,1
26,M,African-American,25 - 45,Low,Male,1,-1,1,0,0,32
44,F,Caucasian,25 - 45,Low,Male,4,-1,2,0,0,2
27,F,Caucasian,25 - 45,Low,Female,0,0,2,0,0,5
28,F,Caucasian,25 - 45,High,Male,14,-1,9,0,0,1
55,M,Caucasian,Greater than 45,Low,Male,1,-1,1,0,0,1
36,F,African-American,25 - 45,Medium,Male,15,-1,5,0,0,2
23,F,African-American,Less than 25,Low,Male,1,-1,4,0,0,1
56,M,African-American,Greater than 45,Low,Male,1,0,1,0,0,0
27,F,Caucasian,25 - 45,Medium,Male,2,-1,6,1,1,1
37,M,Caucasian,25 - 45,Medium,Male,1,-1,6,0,0,1
32,F,African-American,25 - 45,High,Male,1,-1,8,1,1,2
41,M,African-American,25 - 45,High,Male,18,-1,10,1,1,34
22,F,African-American,Less than 25,Medium,Male,1,-1,6,1,1,2
37,F,Caucasian,25 - 45,Low,Male,1,-1,2,1,1,1
45,M,African-American,Greater than 45,Low,Male,3,0,2,0,0,2
31,F,African-American,25 - 45,High,Female,14,-1,8,0,0,2
42,F,African-American,25 - 45,Medium,Male,7,-1,5,1,1,2
26,F,African-American,25 - 45,High,Male,20,-1,9,1,1,30
33,F,Caucasian,25 - 45,High,Male,0,0,9,1,1,1
22,M,Caucasian,Less than 25,Low,Male,0,0,2,1,1,1
